Product Name,Price,Description,Image URL,Availability,Category,Store Name,Product Url
Royal Nuts,$7.99,No Description Available,https://media.sobeys.com/original/754000000025700000000038831471_VOILA_df05b1b8186857b578d07542efd742c5e25ea191.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/royal-nuts-gluten-free-mixed-nuts-cranberry-350-g
Glutino,$9.99,"Don't be surprised if you find yourself eating these twists by the handful. Their crispy, salty, baked taste is so satisfying it seems like a waste to eat them one by oneIt's unlikely you'll even notice they're gluten free. Always delicious and forever gluten free. Dairy Free, egg Free, soy Free, artificial colours or flavours, palm oil, or cholesterol, Non-GMO Project verified",https://media.sobeys.com/original/754000000025700000000045777756_VOILA_e63d8064403caab96ae1345c486b40085f3e152e.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/glutino-gluten-free-pretzel-sticks-400-g
Fritos,$4.69,"Fritos Hoops Bar-B-Q Flavour Corn Chips are an unmistakable Canadian favourite. Right out of the bag or eaten by the handful, the hearty texture of these Fritos Hoops corn chips combined with zesty barbecue flavour satisfies like no other! From small towns and family barbecues to parties in the big city, this classic snack has been satisfying fans for years.",https://media.sobeys.com/original/643479_EA_ml_primary_front_na_070723_VOILA_0c33b605520d0d4396636fc69da0e8a697a26650.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/fritos-hoops-corn-chips-bbq-340-g
Snack Pack,$2.49,"Snack Pack's Classic fruity flavors team up to satisfy your sweet tooth in our strawberry and orange gel pack. All of our Juicy Gels are gluten-free and Kosher, and made with No preservatives, 0 grams trans fat, No high-fructose corn syrup.",https://media.sobeys.com/original/525891_EA_ml_primary_front_na_073124_VOILA_c08142111d71177384a40c27e1464a5a6f4dd612.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/snack-pack-gluten-free-juicy-gels-strawberry-orange-4-x-99-g
MadeGood,$4.49,"MadeGood Strawberry Granola Minis give families a tasty and simple way to curb a craving while on the go.Granola Minis are the perfect bite size snack that contain pure gluten free oats, sweet ripened bananas, and ethically sourced dark chocolate for an irresistible, healthy, and delicious snack. These snacks are Non-GMO, certified organic, gluten free, vegan, and kosher to suit a range of lifestyles. Each bag of Minis is made in a peanut and tree nut free facility, creating a tasty snack that is safe for schools. Featuring the nutrients from six different vegetables (spinach, broccoli, carrots, tomatoes, beets, and shiitake mushrooms), each bag gives parents a snack they can feel great about feeding their kids. Portable and bite-sized snacking of the Granola Minis makes packing healthy options into lunch boxes, backpacks, and purses easier. MadeGood provides healthy snacks rich in antioxidants for a food everyone can feel good about.",https://media.sobeys.com/original/655263_EA_en_primary_front_na_041725_VOILA_00f721b006ebc2aba911dee66b823a7fcfc47ebe.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/madegood-organic-mini-granola-strawberry-5-x-24-g
Royal Nuts,$10.99,No Description Available,https://media.sobeys.com/original/754000000025700000000038815020_VOILA_effc17b3dd555abea408bc54a20f631c75208452.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/royal-nuts-gluten-free-cashews-dry-roasted-unsalted-350-g
Mary's Organic,$7.49,No Description Available,https://media.sobeys.com/original/754000000025700000000048883989_VOILA_0092e889277609b9f62a244a54a00e70bc9dc306.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/mary-s-organic-gluten-free-crackers-black-pepper-184-g
Kozy Shack,$3.99,Kozy Shack believes that simple ingredients make for better-tasting pudding and desserts. That is why their 45-year-old recipes use the same quality ingredients that you would use in your own kitchen. Simple ingredients. Delicious pudding.,https://media.sobeys.com/original/754000000025700000000002150233_VOILA_999204b1c009e65df1fd0940e7d47e93db54fd46.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/kozy-shack-simply-well-gluten-free-rice-pudding-4-x-113-g
Royal Nuts,$11.99,No Description Available,https://media.sobeys.com/original/754000000025700000000040139562_VOILA_8e0a22e6928e44d9e5f3102394a9cbd006eedbb5.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/royal-nuts-gluten-free-pecans-dry-roasted-unsalted-250-g
Snack Pack,$2.49,"The creamy classic just got sweeter, with 60% more fun in every creamy vanilla pudding pack. Vanilla Super Snack Pack is gluten-free and Kosher, and made with Real milk, No preservatives, 0 grams trans fat, No high-fructose corn syrup.",https://media.sobeys.com/original/24071_EA_ml_primary_front_NA_VOILA_7ff42511a25d7df2007e4cecf5f8b74a063d1bcd.JPG,In-stock,Snacks & Candy,FreshCo,https://www.freshco.com/products/snack-pack-gluten-free-pudding-vanilla-4-x-99-g
